Mikor emelte hivatalosan is közösségi szintre a regionális politikát az Egységes Európai Okmány?,1987-ben.
Melyik szerződés hozta létre a Kohéziós Alapot 1993-ban?,A Maastrichti Szerződés.
Mi a gazdasági és társadalmi kohéziós politika lényege?,"Egy adott régió fejlesztési igényének megoldása a nagyobb közösség gazdasági és társadalmi kohéziójának erősítésével, a régió felzárkóztatásával."
Hogyan viszonyul a strukturális politika a regionális politikához?,"A strukturális politika a regionális politika kiszolgálója, mivel a regionális célokat a strukturális alapokból finanszírozott intézkedésekkel valósítják meg."
Mi az EU regionális politikájának fő célja?,"A fejlődésben elmaradó régiók támogatásával a teljes Közösség jólétének növelése, a régiók közötti különbségek csökkentése."
"Nevezzen meg öt fő területet, ahol az EU regionális politikája hozzájárul a fejlődéshez!","Munkaerőpiachoz való hozzáférés, KKV-k támogatása, kutatás és innováció, üzleti környezet javítása, valamint közlekedés és energiatermelés korszerűsítése."
Mit jelent a partnerség elve az EU regionális politikájában?,"Az uniós regionális politika megvalósításában részt vevő szereplők (pl. Európai Bizottság, tagállamok, önkormányzatok) közötti együttműködést."
Mit takar az addicionalitás alapelve a regionális politikában?,"A strukturális támogatások megosztásának kötelezettségét, amelyben a régiónak, tagországnak és a Közösségnek is részt kell vállalnia."
Mit jelent a koncentráció elve a strukturális politikákban?,"Azt, hogy a strukturális célok meghatározott területeken vagy tevékenységek érdekében valósulnak meg."
A szubszidiaritás elve szerint milyen szinten kell a hatásköröket gyakorolni?,"A polgárokhoz legközelebb eső, legalacsonyabb közigazgatási szinten."
Mit értünk programozás alatt a strukturális politikák esetében?,"A támogatások nem automatikusan, hanem előre meghatározott programok alapján kerülnek kifizetésre."
Mi a monetáris politika definíciója?,"Gazdaságpolitikai tevékenység, melynek során a monetáris hatóság a pénzkínálaton és kamatszabályozáson keresztül befolyásolja a gazdasági folyamatokat."
Melyik a monetáris politikáért felelős legfőbb állami intézmény a legtöbb országban?,"A központi bank, vagy más néven jegybank."
Nevezze meg a monetáris politika három legfontosabb eszközét!,"Nyíltpiaci műveletek, jegybanki hitelezés és a kötelező tartalékráta politika."
Mi a jegybank elsődleges célja?,Az árstabilitás elérése és fenntartása.
Mikor állították vissza Magyarországon a kétszintű bankrendszert?,1987-ben.
Melyik két szintből áll a kétszintű bankrendszer?,"Az első szinten a jegybank, a másodikon a kereskedelmi bankok állnak."
Mi a jegybank kamatfolyosójának legfőbb funkciója?,A bankközi pénzpiaci kamatingadozás mérséklése.
Nevezze meg a kereskedelmi bankok tevékenységével kapcsolatos hármas követelményt!,"A biztonság, a likviditás és a jövedelmezőség."
Milyen marketing stratégiát alkalmaznak a termék életciklusának piaci bevezetési szakaszában?,"A potenciális vevők figyelmének felkeltése, az alkalmazástól elvárható előnyök hangsúlyozásával, lefölözéses vagy bevezető árstratégiával."
Mi a fő cél a termék életciklusának érettségi szakaszában?,"Nemcsak az eladások növelése, hanem a termékhez kapcsolódó szolgáltatások fejlesztése, új piacok feltárása és a költséganalízis."
Melyik két paramétert veszi figyelembe a BCG mátrix a termékek elemzésekor?,A piaci növekedés ütemét és a relatív piaci részesedést.
"Melyik kategóriába tartoznak a BCG mátrixban a gyors növekedésű, de alacsony piaci részesedésű termékek?",Kérdőjelek.
"Melyik kategóriába tartoznak a BCG mátrixban a lassú növekedésű, de nagy piaci részesedésű termékek?",Fejőstehenek.
A BCG mátrix melyik kategóriája felel meg a termék életgörbe növekedési szakaszának?,Sztárok.
A BCG mátrix melyik kategóriája felel meg a termék életgörbe hanyatlási szakaszának?,Döglött kutyák.
Mi az üzleti ötletek szűrésének elsődleges célja?,"A rossz ötletektől való mielőbbi megszabadulás, mivel a termékfejlesztési költségek a fejlesztési szakaszokban jelentősen nőnek."
A brainstorming egy _____ ötletgyűjtési módszer.,csoportos
"Mit jelent, ha egy termék vagy szolgáltatás piacképes?","Azt jelenti, hogy valóságos, létező vagy felkelthető vevői igényt elégít ki, amelyre ismétlődő fizetőképes kereslet várható."
"Mit jelent, ha egy termék vagy szolgáltatás versenyképes?","Azt jelenti, hogy a várható versenytársak ellenére eladható, mert minőségben, árban vagy más szempontból kedvezőbb."
Mit jelent az üzletképesség egy üzleti ötlet értékelésekor?,"Azt, hogy a termékkel vagy szolgáltatással nyereséget lehet elérni, és a szükséges tőke, erőforrás rendelkezésre áll vagy megszerezhető."
Mi a „B” teszt célja az üzleti ötlet értékelése során?,"Az üzleti lehetőség életképességi feltételeinek (piacképesség, versenyképesség, stb.) részletesebb, állítások alapján történő értékelése."
Hogyan használják fel az üzleti ötlet értékelése során gyűjtött információkat az üzleti tervezésben?,"Az üzleti terv alapját képezik, segítve a célok, stratégiák és operatív lépések meghatározását, valamint a kockázatok csökkentését."
Melyik törvény hatalmazta fel a települési önkormányzatokat a helyi adóztatási jog gyakorlására Magyarországon?,A helyi adókról szóló 1990. évi C. törvény.
Sorolja fel a helyi adók három fő típusát!,"Vagyoni típusú adók, kommunális jellegű adók és a helyi iparűzési adó."
Mi lehet az építményadó alapja az önkormányzat döntése szerint?,"Vagy az építmény m2-ben számított hasznos alapterülete, vagy az építmény korrigált forgalmi értéke."
Ki az idegenforgalmi adó alanya?,"Az a nem állandó lakos magánszemély, aki az önkormányzat illetékességi területén legalább egy vendégéjszakát eltölt."
Mi a helyi iparűzési adó (hipa) maximális mértéke?,Az adóalap maximum 2%-a.
Mire használhatja fel az önkormányzat a települési adóból származó bevételt?,Fejlesztési célra és a hatáskörébe tartozó szociális ellátások finanszírozására.
Milyen két nagy ellátási csoportot foglal magába a magyar társadalombiztosítási rendszer?,Az egészségbiztosítási ellátásokat és a nyugdíjbiztosítási ellátásokat.
"Miből áll a 18,5%-os társadalombiztosítási járulék (TB)?","10% nyugdíjjárulékból, 7% egészségbiztosítási járulékból és 1,5% munkaerőpiaci járulékból."
"Mi a szociális hozzájárulási adó (SZOCHO) mértéke, amit a munkaadó a bruttó bér felett fizet?",13%.
A PESTEL analízis mely tényezőket vizsgálja?,"Politikai, Gazdasági, Társadalmi, Technológiai, Környezeti (Environmental) és Jogi (Legal) tényezőket."
Mi a PEST analízis célja?,"Megismerni azokat a környezeti tényezőket, amelyek hosszú távon hatással vannak és lesznek a vállalkozásra."
"Melyik modell elemzi az iparági versenykörnyezetet az új belépők, helyettesítők, vevők, szállítók és versenytársak fenyegetése alapján?",A Porter-féle öt erő modell.
Mi a SWOT analízis célja?,"Azonosítani a vállalkozás erősségeit (Strengths), gyengeségeit (Weaknesses), a kínálkozó lehetőségeket (Opportunities) és a fennálló veszélyeket (Threats)."
Mi a JIT (Just In Time) módszer célja a termelési logisztikában?,"A készletszint és átfutási idők csökkentése a minőség, hatékonyság és rugalmasság javítása érdekében."
Hogyan működik a húzó gyártás elve a JIT rendszerben?,"A termelés a vevői igények alapján indul, azaz csak akkor gyártanak, amikor arra szükség van, elkerülve a felesleges készletfelhalmozást."
Miben különbözik a JIS (Just In Sequence) a JIT módszertől?,"A JIS során az alapanyagok nemcsak időben, hanem a felhasználásuk sorrendjében is érkeznek a gyártósorra."
Mi a VMI (Vendor Managed Inventory) lényege?,"A teljes készletmenedzsmentet az ellátó végzi, ő figyeli a vevő készleteit és automatikusan gondoskodik az utánpótlásról."
Mit jelent a belső ügyfél koncepció?,"A szervezet tagjait, funkcióit, egységeit belső ügyfeleknek tekinti, akiknek ugyanolyan ügyfél-orientált módon kell szolgáltatást nyújtani, mint a külső partnereknek."
Mi a belső marketing koncepció alapfeltevése Grönroos szerint?,"A belső marketing egy vezetési filozófia, mely az alkalmazottakra, mint fogyasztókra tekint."
Mi az a pszichológiai szerződés a belső marketingben?,"A vezetés és a munkatársak között hallgatólagosan létező bizalmi helyzet, amely a szervezeti kultúra alapja."
Miért fontos a belső ügyfelek elégedettsége?,Mert a munkatársak elégedettsége és a belső szolgáltatások minősége közvetlen hatással van a külső ügyfelek elégedettségére és a cég sikerére.
Mi a beruházás fogalma?,"Tárgyi eszközök létesítésére, beszerzésére fordított tőkekiadás."
Különböztesse meg a szinttartó (pótló) és a bővítő beruházást!,"A szinttartó beruházás célja az elavult eszközök cseréje, míg a bővítő beruházás mennyiségi és minőségi változást idéz elő az eszközállományban."
Mi a statikus beruházás-gazdaságossági számítások fő hátránya?,Nem veszik figyelembe a pénz időértékét.
Mi a beruházás megtérülési ideje (Bm) mutató?,"Megmutatja, hogy a beruházás egyszeri ráfordítása mennyi idő alatt térül meg az elérhető évi átlagos hozamból."
Mit fejez ki a nettó jelenérték (NPV) mutató?,"A beruházás hozamai diszkontált értékének és a beruházás egyszeri ráfordításának különbségét, azaz a beruházás által generált vagyonnövekedést."
Hogyan értékeljük a beruházást a jövedelmezőségi index (PI) alapján?,"Ha a PI > 1, a beruházás megvalósítható; ha PI < 1, elutasítandó; ha PI = 1, kockázatos."
Mi a belső megtérülési ráta (IRR)?,"Az a kamatláb, amely mellett a beruházás nettó jelenértéke (NPV) nulla."
A vevő-szállító kapcsolatoknál a versenyeztető modellben a beszállító _____.,ellenfél
Milyen a kapcsolat hossza és a szerződés jellege az együttműködési modellben a vevő-szállító kapcsolatoknál?,"Közép- vagy hosszútávú kapcsolat, rugalmas keretszerződéssel."
Mi a beszállítóértékelés súlyozásos módszerének lényege?,"A meghatározott szempontokat prioritási sorrendbe rendezik, majd az egyes szempontokhoz súlyokat (prioritási értékeket) rendelnek."
Mi a TCO (Total Cost of Ownership) módszer lényege a beszállítóértékelésben?,"Minden olyan költséget számba vesz, amely egy adott kapcsolattartás során jelentkezik (pl. beszerzési ár, minőségi költségek, készlettartás), és a legalacsonyabb TCO-val rendelkező szállítót választja."
Milyen két fő szintje van az államháztartásnak Magyarországon?,Központi szint és helyi szint.
Sorolja fel az államháztartás központi szintjének alrendszereit!,"Központi kormányzati alrendszer, társadalombiztosítási alrendszer, és az elkülönített állami pénzalapok alrendszere."
Mi a különbség a közvetlen és a közvetett adók között?,"A közvetlen adóknál (pl. SZJA) az adófizető személye előre ismert, míg a közvetett adóknál (pl. ÁFA) nem."
Mit jelent a progresszív adó?,"Minél magasabb az adóalap, annál nagyobb az adókulcs."
Mi a különbség az expanzív és a restriktív költségvetési politika között?,"Az expanzív politika célja a kereslet növelése (adók csökkentése, kiadások növelése), míg a restriktívé a kereslet csökkentése (adók növelése, kiadások csökkentése)."
Mik azok az automatikus stabilizátorok a költségvetési politikában?,"Olyan elemek (pl. adók, munkanélküli segély), amelyek külön beavatkozás nélkül enyhítik a gazdasági ciklusok kilengéseit."
Milyen gazdasági társasági formák alapíthatók Magyarországon a Ptk. szerint?,"Közkereseti társaság (kkt.), betéti társaság (bt.), korlátolt felelősségű társaság (kft.) vagy részvénytársaság (rt.)."
Mi a gazdasági társaság legfőbb szerve egy kft. és egy rt. esetében?,"A kft. esetében a taggyűlés, az rt. esetében a közgyűlés."
Mikor kötelező felügyelőbizottságot létrehozni egy gazdasági társaságnál?,"Ha a teljes munkaidős munkavállalók száma éves átlagban meghaladja a 200 főt, és az üzemi tanács nem mondott le a részvételről."
Mi a csődeljárás lényege?,"Az adós fizetési haladékot kap, hogy hitelezőivel egyezséget kössön adósságának rendezéséről."
Mi a felszámolási eljárás célja?,"A fizetésképtelen adós gazdálkodó szervezet jogutód nélküli megszüntetése, melynek során a hitelezői követeléseket a vagyonból kielégítik."
Milyen esetben kerül sor végelszámolásra?,"A cég jogutód nélküli megszűnésére, ha a cég nem fizetésképtelen, és a legfőbb szerve így dönt."
Mikor rendel el a cégbíróság kényszertörlési eljárást?,"Például ha a céget megszűntnek nyilvánítja, vagy a cég a végelszámolást 3 éven belül nem fejezte be."
Ki az általános forgalmi adó (áfa) alanya általános esetben?,"Mindenki, aki gazdasági tevékenységet folytat (természetes személyek, jogi személyek, stb.)."
Mi a közösségen belüli termékbeszerzés áfa-szabályainak lényege?,"Az adófizetési kötelezettség a beszerző országában keletkezik, a vevőnek kell az áfát fordított adózással bevallania és megfizetnie."
Miből tevődik össze a termékimport adóalapja?,"Többek között a vámértékből, a vámköltségekből, és az első belföldi rendeltetési helyig felmerült járulékos költségekből."
Mennyi az általános áfa mértéke Magyarországon?,27%.
Mi a különbség a valódi és a nem valódi adómentesség között az áfában?,"Valódi mentesség esetén van adólevonási jog (pl. export), míg nem valódi mentesség esetén nincs (pl. régi ingatlan értékesítése)."
Hogyan működik a fordított adózás?,"Az adófizetési kötelezettség a termék beszerzőjére vagy szolgáltatás igénybevevőjére hárul, nem az eladóra."
Mi a tárolóterületek elrendezésének egyik alapelve az anyagmozgatás szempontjából?,A tárolótéren belüli anyagmozgatási munka minimalizálása.
Hogyan segíti az ABC-elemzés az áruelhelyezést a raktárban?,"A gyorsan forgó 'A' kategóriás termékeket a manipulációs területhez közel helyezik el, míg a lassan forgó 'C' kategóriásakat távolabb."
Mi a tömbös tárolás fő előnye és hátránya?,"Előnye a jó területkihasználás, hátránya a rossz közvetlen hozzáférhetőség a belső rakományokhoz."
Mi a soros tárolás fő előnye és hátránya?,"Előnye a minden egységhez való közvetlen hozzáférés, hátránya a gyengébb területkihasználás."
Mi a számvitel fogalma?,"Egy olyan elszámolási, nyilvántartási és beszámoló rendszer, amely valós, megbízható képet nyújt a gazdálkodók vagyoni, pénzügyi és jövedelmi helyzetéről."
Nevezze meg a számvitel négy alrendszerét!,"Könyvvitel, beszámolók, költség- és önköltségszámítás, valamint a bizonylati rendszer."
Mi a számviteli politika?,"A vállalkozás speciális jellemzőit, a számviteli törvény keretein belüli választásait és végrehajtási rendjét tartalmazó belső szabályzatok összessége."
"Soroljon fel legalább három kötelező szabályzatot, amit a számviteli politikának tartalmaznia kell!","Leltárkészítési és leltározási szabályzat, értékelési szabályzat, pénzkezelési szabályzat, önköltségszámítási szabályzat."
Mit mond ki a valódiság számviteli alapelve?,"A könyvvitelben rögzített és a beszámolóban szereplő tételeknek a valóságban is megtalálhatóknak, bizonyíthatóknak kell lenniük."
Mit jelent az óvatosság elve a számvitelben?,"Nem lehet kimutatni nem realizált árbevételt, de a várható kötelezettségekre és értékvesztésekre céltartalékot kell képezni, még ha azok bizonytalanok is."
Mi a bruttó elszámolás elve?,"A bevételeket és a költségeket, illetve a követeléseket és a kötelezettségeket nem szabad egymással szemben (nettósítva) elszámolni."
Mi a különbség a főkönyvi és az analitikus nyilvántartás között?,"A főkönyvi nyilvántartás összesítve mutatja a gazdasági eseményeket, míg az analitikus nyilvántartás részletezi azokat."
Milyen két fő típusú eredménykimutatást különböztet meg a számviteli törvény?,Összköltség eljárással és forgalmi költség eljárással készülő eredménykimutatást.
"Az eredménykimutatás melyik sémája helyezi előtérbe a teljesség elvét, azaz az üzleti évben felmerült összes elemi költséget?",Az összköltség eljárással készülő eredménykimutatás.
Hogyan számítjuk ki a szokásos vállalkozási eredményt?,Az üzemi (üzleti) tevékenység eredményének és a pénzügyi műveletek eredményének összegeként.
Hogyan kapjuk meg az adózott eredményt?,Az adózás előtti eredményből levonjuk a társasági adófizetési kötelezettséget.
Melyik törvény szabályozza a társasági adót (TAO) Magyarországon?,Az 1996. évi LXXXI. törvény.
Miből indul ki a társasági adó alapjának megállapítása?,A számvitel szerinti adózás előtti eredményből.
Mondjon két példát a társasági adóalapot növelő tételekre!,"A vállalkozás érdekében fel nem merült költségek, bírságok, céltartalék-képzés."
Mondjon két példát a társasági adóalapot csökkentő tételekre!,"Kapott osztalék, céltartalék feloldása, korábbi évek elhatárolt vesztesége."
Mikor kell alkalmazni a jövedelem-(nyereség)minimumot a társasági adóban?,Ha az adózó adóalapja vagy adózás előtti eredménye nem éri el a törvény szerint számított jövedelemminimumot.
Mennyi a társasági adó mértéke Magyarországon?,9%.
Mit jelent a szolgáltatás Kotler szerint?,"Olyan cselekvés vagy teljesítmény, amely nem tárgyiasult és nem eredményez tulajdonjogot, bár előállítása kapcsolódhat fizikai termékhez."
Mi a szolgáltatások négy fő jellemzője (HIP-I elv)?,"Változékonyság (Heterogenity), megfoghatatlanság (Intangibility), romlékonyság (Perishability) és elválaszthatatlanság (Inseparability)."
Mi a jövedelmezőség vizsgálatának lényege?,"Azt mutatja meg, hogy a vállalkozás mennyire hatékonyan használja fel erőforrásait a nyereség eléréséhez, összevetve az eredményt a ráfordításokkal vagy a tőkével."
Mi a ROA (Return on Assets) mutató?,"Eszközarányos jövedelmezőség, amely megmutatja, hogy az összes eszköz mekkora adózott eredményt termelt."
Mi a ROA számításának képlete?,ROA = (Adózott eredmény / Összes eszköz) * 100
Mi a ROE (Return on Equity) mutató?,"Sajáttőke-arányos jövedelmezőség, amely a tulajdonosok által befektetett tőke megtérülését mutatja."
Mi a ROE számításának képlete?,ROE = (Adózott eredmény / Saját tőke) * 100
"Hogyan befolyásolja a jövedelmezőségi mutatókat (pl. ROA, ROE) az adózott eredmény növekedése, ha az eszközök és a tőke változatlan?","Javítja, növeli a jövedelmezőségi mutatók értékét."
"Hogyan hat egy nagy beruházás (eszközállomány növekedése) a ROA mutatóra rövid távon, ha az még nem termel eredményt?","Rontja, csökkenti a ROA értékét, mivel a nevező (eszközök) nő, de a számláló (eredmény) nem."
"Mi a különbség a stratégiai, taktikai és operatív tervezés között időtáv szempontjából?","A stratégiai tervezés hosszú távú (több év), a taktikai középtávú (1-3 év), az operatív pedig rövid távú (1 éven belüli)."
"Melyik tervezési szinten történik a szervezet egészét érintő, alapvető fejlődési irányok meghatározása?",Stratégiai tervezési szinten.
Adjon példát az operatív tervezés tartalmára!,"Napi, heti gyártási ütemtervek, erőforrások optimális kihasználásának tervezése."
Mi az a keret a kerettervezés fogalomrendszerében?,"Olyan, értékben kifejezett formalizált terv, melyet meghatározott időre, kötelezettséggel előírnak egy döntési egységnek."
Mi a hagyományos éves kerettervezés egyik legfőbb kritikája?,"Merev, időigényes, gyorsan elavul és nem reagál rugalmasan a piaci változásokra."
Melyik helyettesítő módszer célozza a kerettervezés teljes kiiktatását és a vezetési kultúra radikális megváltoztatását?,A beyond budgeting.
Mi a gördülő előrejelzés (rolling forecast) lényege?,"Nem egy fix éves periódusra készül, hanem folyamatosan frissítik (pl. negyedévente), jellemzően 5-8 negyedévre előretekintve."
Mi az infláció fogalma?,"Az árszínvonal tartós és általános emelkedése, a pénz vásárlóerejének romlása."
Hogyan mérik a fogyasztási javak árszínvonalának változását?,A fogyasztói árindex (CPI - Consumer Price Index) segítségével.
Melyik inflációs típusra jellemző a kétszámjegyű vagy háromszámjegyű éves áremelkedés?,Vágtató infláció.
Mi a kényszerű munkanélküliség?,"Az az állapot, amikor a munkavállaló aktívan keres munkát a piacon érvényes bérek mellett, de nem talál."
Mi a munkanélküliségi ráta számításának módja?,A munkanélküliek számát elosztják az aktív népesség (foglalkoztatottak + munkanélküliek) számával.
Mi okozza a strukturális munkanélküliséget?,"Az, hogy a munkaerő-kereslet és -kínálat szerkezete (szakma, képzettség, földrajzi elhelyezkedés szerint) eltér egymástól."
Milyen összefüggést ír le a Phillips-görbe rövid távon?,Ellentétes irányú kapcsolatot (trade-off) az inflációs ráta és a munkanélküliségi ráta között.